_ID (Object),Accession Number,Temp ID,Artist Sort Name,Display Artist,Display Title,Display Medium,Display Dimensions,Display Create Date,City,County,Feature Description,TGN ID,Geoname,Historic place,Neighborhood,Direction,Guess,Extent,State Province,Object Type,Media Filepath ,EMA web address
104442,2001.353,PH01.048,"Adams, Robert",Robert Adams,Redlands,gelatin silver print,8 15/16 in. x 11 1/16 in. (22.7 cm x 28.1 cm),ca. 1980; printed 1998,Redlands,San Bernardino,Redlands,2013544,,,,horizontal,,,California,photograph,I:\Images\04_Web\2001\2001.353_01_b04.jpg,
104526,2001.336,PH01.054,"Adams, Robert",Robert Adams,"Redlands, California",gelatin silver print,9 in. x 11 1/4 in. (22.86 cm x 28.58 cm),1982,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.336.jpg,http://www.sfmoma.org/explore/collection/artwork/104526
104568,2001.339,PH01.059,"Adams, Robert",Robert Adams,"Near Interstate 10, east edge of Redlands, California",gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),1982; printed 1998,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.339.jpg,http://www.sfmoma.org/explore/collection/artwork/104568
104575,2001.33,PH01.066,"Adams, Robert",Robert Adams,"Interstate 10, east edge of Redlands, California",gelatin silver print,9 in. x 11 1/4 in. (22.86 cm x 28.58 cm),1978,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.330.jpg,http://www.sfmoma.org/explore/collection/artwork/104575
104576,2001.356,PH01.067,"Adams, Robert",Robert Adams,"Remains of a eucalyptus windbreak, Redlands, California",gelatin silver print,9 in. x 11 1/2 in. (22.86 cm x 29.21 cm),1982,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.356.jpg,
104583,2001.354,PH01.074,"Adams, Robert",Robert Adams,"Redlands, California",gelatin silver print,14 in. x 15 1/2 in. (35.56 cm x 39.37 cm),1982,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.354.jpg,
104585,2001.331,PH01.076,"Adams, Robert",Robert Adams,"Interstate 10, west edge of Redlands, California",gelatin silver print,9 in. x 11 1/4 in. (22.86 cm x 28.58 cm),1982,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.331.jpg,http://www.sfmoma.org/explore/collection/artwork/104585
106372,2001.351,PH01.042,"Adams, Robert",Robert Adams,"Redlands, California",gelatin silver print,11 in. x 9 in. (27.94 cm x 22.86 cm),1983,Redlands,San Bernardino,Redlands,2013544,,,,vertical,,,California,photograph,I:\Images\04_Web\2001\2001.351_01_b04.jpg,
104571,2001.31,PH01.062,"Adams, Robert",Robert Adams,"Along Interstate 10, San Bernardino County, California",gelatin silver print,9 in. x 11 in. (22.86 cm x 27.94 cm),1978,Redlands ,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.310.jpg,http://www.sfmoma.org/explore/collection/artwork/104571
149862,,PGPH13.113,"Friend, Herve",Herve Friend,View of Redlands with Orange Grove,albumen print,,1892,Redlands,San Bernardino,Redlands,2013544,,,,,,Add city,California,photograph,I:\Images\04_Web\PGPH\PGPH13\PGPH13.75_117\PGPH13.113_01_g04.jpg,
149863,,PGPH13.114,"Friend, Herve",Herve Friend,Redlands From Cajon Street Schoolhouse,albumen print,,1892,Redlands,San Bernardino,Redlands,2013544,,,,,,,California,photograph,I:\Images\04_Web\PGPH\PGPH13\PGPH13.75_117\PGPH13.114_01_g04.jpg,
29219,69.64.3,,"Quick, Herbert",Herbert Quick,"Wiseman House, Redlands, California",gelatin silver print,,,Redlands,San Bernardino,Redlands,2013544,,,,,,Add city,California,photograph,I:\Images\04_Web\1969\69.64.3.jpg,
128537,2008.115,x2008.588.026,"Basilico, Gabriele",Gabriele Basilico,"Redwood City, 2007",digital pigment print,39 3/8 in. x 51 3/16 in. (100 cm x 130 cm),2007,Redwood City,San Mateo  ,Redwood City,2013558,,,,,,,California,photograph,I:\Images\04_Web\PH\x2008.588.026_01_a04.jpg,http://www.sfmoma.org/explore/collection/artwork/128537
128544,2008.116,x2008.588.033,"Basilico, Gabriele",Gabriele Basilico,"Redwood City, 2007",digital pigment print,23 5/8 in. x 31 1/2 in. (60 cm x 80 cm),2007,Redwood City,San Mateo  ,Redwood City,2013558,,,,,,,California,photograph,I:\Images\04_Web\PH\x2008.588.033_01_a04.jpg,http://www.sfmoma.org/explore/collection/artwork/128544
28273,86.106.4,,"Creedon, Michael",Michael Creedon,"Salt in Silver, Redwood City, CA, from the portfolio Meniscus",gelatin silver print,,1980,Redwood City,San Mateo  ,Redwood City,2013558,,,,,,,California,photograph,I:\Images\04_Web\1986\86.106.4.jpg,
150018,,x2013.8003.013,"Soth, Alec",Alec Soth,"Valentine's Day ""Falling in Love with Ukrainian Startups"" meet-and-greet",inkjet print,14 3/4 in. x 19 3/4 in. (37.47 cm x 50.17 cm),2013,Redwood City,San Mateo  ,Redwood City,2013558,,,,,,,California,photograph,I:\Images\04_Web\x\x2013.8003.013_01_B04.jpg,
